City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,Ulety,51.3572,112.4849,3.2,58,92,2.49,RU,1680959630
336,Guymon,36.6828,-101.4816,2.0,41,0,4.12,US,1680959630
337,Pirapozinho,-22.2753,-51.5,23.02,83,100,2.45,BR,1680959630
338,Bud,39.447,-86.1758,6.75,63,100,4.65,US,1680959631
339,Duncan,34.5023,-97.9578,10.94,69,100,0.0,US,1680959538
340,Shahpur,16.7,76.8333,34.56,22,1,4.14,IN,1680959631
341,Natalio,-26.7167,-55.0833,21.64,76,37,0.32,PY,1680959631
342,Puxinana,-7.1611,-35.9606,26.96,64,55,3.24,BR,1680959381
343,Beihai,21.4833,109.1,19.27,86,100,3.81,CN,1680959632
344,Ostrovnoy,68.0531,39.5131,2.33,88,100,9.92,RU,1680959632
345,Sao Filipe,14.8961,-24.4956,22.5,74,100,4.43,CV,1680959632
346,Nishihara,26.1842,127.7558,17.6,56,40,6.17,JP,1680959632
347,Bandarbeyla,9.4942,50.8122,29.09,61,8,4.81,SO,1680959632
348,Waingapu,-9.6567,120.2641,25.76,82,100,1.73,ID,1680959632
349,Cuajinicuilapa,16.4667,-98.4167,24.53,63,78,0.42,MX,1680959633
350,Camana,-16.6228,-72.7111,23.75,70,7,1.02,PE,1680959633
351,Texarkana,33.4251,-94.0477,13.12,62,100,3.6,US,1680959366
352,Newcastle,-32.9272,151.7765,19.28,60,0,7.2,AU,1680959515
353,Sao Joao Da Barra,-21.6403,-41.0511,29.05,77,73,2.01,BR,1680959630
354,Charters Towers,-20.1,146.2667,25.57,34,6,4.02,AU,1680959633
